id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,queue pressure,102,56,28,48,196,watch,baseline,monotonic-signal
g002,retry load,73,72,40,43,101,hold,edge,drag-penalty
g003,worker slack,106,47,26,96,251,ship,recovery,confidence-floor
g004,session drift,38,37,21,33,62,hold,negative,lane-boundary
g005,queue pressure,95,70,41,92,188,watch,baseline,monotonic-signal
g006,retry load,39,54,31,40,48,hold,edge,drag-penalty
g007,worker slack,59,48,28,61,115,watch,recovery,confidence-floor
g008,session drift,72,48,7,33,197,watch,negative,lane-boundary
g009,queue pressure,82,50,19,67,205,ship,baseline,monotonic-signal
g010,retry load,47,19,26,88,97,hold,edge,drag-penalty
g011,worker slack,33,41,10,60,127,watch,recovery,confidence-floor
g012,session drift,117,19,25,51,204,ship,negative,lane-boundary
g013,queue pressure,75,46,32,51,119,watch,baseline,monotonic-signal
g014,retry load,101,27,39,55,128,watch,edge,drag-penalty
g015,worker slack,74,55,44,105,132,watch,recovery,confidence-floor
g016,session drift,64,36,6,91,231,ship,negative,lane-boundary
g017,queue pressure,62,64,9,46,198,watch,baseline,monotonic-signal
g018,retry load,65,11,33,28,37,hold,edge,drag-penalty
g019,worker slack,114,22,5,66,296,ship,recovery,confidence-floor
g020,session drift,54,65,34,47,84,hold,negative,lane-boundary
g021,queue pressure,115,19,8,42,259,ship,baseline,monotonic-signal
g022,retry load,105,68,39,95,217,ship,edge,drag-penalty
g023,worker slack,104,25,35,32,125,watch,recovery,confidence-floor
g024,session drift,107,76,13,91,329,ship,negative,lane-boundary
g025,queue pressure,68,8,25,39,83,hold,baseline,monotonic-signal
g026,retry load,52,73,11,60,193,watch,edge,drag-penalty
g027,worker slack,91,38,6,32,228,ship,recovery,confidence-floor
g028,session drift,70,58,26,66,160,watch,negative,lane-boundary
g029,queue pressure,63,35,16,87,184,watch,baseline,monotonic-signal
g030,retry load,63,61,13,59,194,watch,edge,drag-penalty
g031,worker slack,111,77,34,50,213,ship,recovery,confidence-floor
g032,session drift,55,52,4,50,196,watch,negative,lane-boundary
g033,queue pressure,114,42,11,54,280,ship,baseline,monotonic-signal
g034,retry load,59,75,37,104,149,watch,edge,drag-penalty
g035,worker slack,79,59,10,90,267,ship,recovery,confidence-floor
g036,session drift,48,53,17,45,126,watch,negative,lane-boundary
g037,queue pressure,80,53,24,27,144,watch,baseline,monotonic-signal
g038,retry load,100,55,29,65,204,ship,edge,drag-penalty
g039,worker slack,113,24,33,46,164,watch,recovery,confidence-floor
g040,session drift,35,46,36,41,13,hold,negative,lane-boundary
g041,queue pressure,88,24,18,94,222,ship,baseline,monotonic-signal
g042,retry load,74,51,32,31,102,hold,edge,drag-penalty
g043,worker slack,70,32,19,90,186,watch,recovery,confidence-floor
g044,session drift,116,60,35,38,190,watch,negative,lane-boundary
g045,queue pressure,54,41,24,59,112,watch,baseline,monotonic-signal
g046,retry load,115,69,20,31,250,ship,edge,drag-penalty
g047,worker slack,105,16,40,65,131,watch,recovery,confidence-floor
g048,session drift,103,27,10,86,279,ship,negative,lane-boundary
g049,queue pressure,106,70,38,58,188,watch,baseline,monotonic-signal
g050,retry load,67,24,33,49,75,hold,edge,drag-penalty
g051,worker slack,95,73,11,49,268,ship,recovery,confidence-floor
g052,session drift,68,30,43,53,47,hold,negative,lane-boundary
g053,queue pressure,58,11,40,103,70,hold,baseline,monotonic-signal
g054,retry load,57,13,19,89,140,watch,edge,drag-penalty
g055,worker slack,60,8,31,44,48,hold,recovery,confidence-floor
g056,session drift,109,43,38,26,135,watch,negative,lane-boundary
g057,queue pressure,93,63,22,64,225,ship,baseline,monotonic-signal
g058,retry load,44,40,37,45,25,hold,edge,drag-penalty
g059,worker slack,111,66,44,40,152,watch,recovery,confidence-floor
g060,session drift,104,12,9,93,277,ship,negative,lane-boundary
g061,queue pressure,104,57,14,30,239,ship,baseline,monotonic-signal
g062,retry load,64,47,18,89,192,watch,edge,drag-penalty
g063,worker slack,96,10,21,37,155,watch,recovery,confidence-floor
g064,session drift,67,64,45,58,76,hold,negative,lane-boundary
g065,queue pressure,100,58,17,30,220,ship,baseline,monotonic-signal
g066,retry load,32,58,4,64,170,watch,edge,drag-penalty
g067,worker slack,89,60,20,85,243,ship,recovery,confidence-floor
g068,session drift,33,29,9,57,116,watch,negative,lane-boundary
g069,queue pressure,53,51,5,48,185,watch,baseline,monotonic-signal
g070,retry load,66,29,25,48,109,hold,edge,drag-penalty
g071,worker slack,76,56,37,52,112,watch,recovery,confidence-floor
g072,session drift,41,37,23,102,129,watch,negative,lane-boundary
g073,queue pressure,115,65,18,88,311,ship,baseline,monotonic-signal
g074,retry load,111,46,38,43,159,watch,edge,drag-penalty
g075,worker slack,69,74,28,25,125,watch,recovery,confidence-floor
g076,session drift,95,21,25,63,174,watch,negative,lane-boundary
g077,queue pressure,68,32,4,44,196,watch,baseline,monotonic-signal
g078,retry load,58,75,16,39,166,watch,edge,drag-penalty
g079,worker slack,56,29,23,92,141,watch,recovery,confidence-floor
g080,session drift,59,8,7,29,127,watch,negative,lane-boundary
g081,queue pressure,108,35,22,88,251,ship,baseline,monotonic-signal
g082,retry load,48,16,29,36,32,hold,edge,drag-penalty
g083,worker slack,109,18,36,57,149,watch,recovery,confidence-floor
g084,session drift,99,13,41,29,76,hold,negative,lane-boundary
g085,queue pressure,98,48,45,63,127,watch,baseline,monotonic-signal
g086,retry load,101,68,6,84,330,ship,edge,drag-penalty
g087,worker slack,62,45,30,56,105,hold,recovery,confidence-floor
g088,session drift,46,71,44,47,34,hold,negative,lane-boundary
g089,queue pressure,85,17,31,47,110,hold,baseline,monotonic-signal
g090,retry load,64,62,5,51,221,ship,edge,drag-penalty
g091,worker slack,57,52,36,101,123,watch,recovery,confidence-floor
g092,session drift,57,15,32,87,88,hold,negative,lane-boundary
g093,queue pressure,105,69,10,42,281,ship,baseline,monotonic-signal
g094,retry load,49,63,22,24,97,hold,edge,drag-penalty
g095,worker slack,108,63,8,62,309,ship,recovery,confidence-floor
g096,session drift,53,65,45,43,34,hold,negative,lane-boundary
